companyName,location,timePost,website,jobType,jobCount,Knowledge,Platform,Framework,ProgrammingLanguage,Tool,date,month,year
EX2 Outcoding,Remote,2024-01-14,Indeed,Network Engineer,1,"SOLID,TCP/IP,COMPUTER SCIENCE,BUSINESS,SOFTWARE DEVELOPMENT,DIAGNOSTIC,ANALYTICS,SOFTWARE",,,,"SOFTWARE DEVELOPMENT,MONITORING,ANALYTICS,SOLID,SEARCHING",14,1,2024
EX2 Outcoding,Remote,2024-01-14,Indeed,Software Architect,1,"SOLID,COMPUTER SCIENCE,FUNCTIONS,BUSINESS,MODELING,SOFTWARE DEVELOPMENT,SOFTWARE",,.NET,"JAVA,JAVASCRIPT,UML","SOFTWARE DEVELOPMENT,SOFTWARE DESIGN,SOLID,UML,QUALITY ASSURANCE,SEARCHING",14,1,2024
EX2 Outcoding,Remote,2024-01-14,Indeed,UI Designer,1,"UI,SOLID,WIREFRAMING,BUSINESS,SOFTWARE DEVELOPMENT,TESTING,ENGLISH,SOFTWARE",,,,"ADOBE XD,FIGMA,SKETCH,SOFTWARE DEVELOPMENT,ENGLISH,SOLID,TESTING,SEARCHING",14,1,2024
Eaton,"Hybrid remote in Cleveland, OH 44114",2024-01-14,Indeed,Database Administrator,1,"AGILE,DATABASE,SQL TUNING,BACKUP,SECURITY,SOLID,COLOR,DATABASES,CYBERSECURITY,STATISTICS,BUSINESS,VISUALIZATION,FACTORS,HEALTH,SQL,TESTING,MANUAL,LOGGING,PERFORMANCE,DATABASE ADMINISTRATION,SOFTWARE",LINUX,"ORACLE DATABASE,RMAN,LINUX,REQUESTS,DATABASE","SQL,BASH","ORACLE DATABASE,ORACLE,LINUX,DATABASE,BACKUP AND RESTORE,SECURITY,MONITORING,BACKUP,STATISTICS,SQL,AGILE,SOLID,SOFTWARE DEBUGGING,MONITOR DATABASES,DATABASES,RMAN,MONITOR,PERFORMANCE,DATABASE ARCHITECTURE,REPLICATION,ORACLE DATABASE ARCHITECTURE,TESTING,VISUALIZATION",14,1,2024
El Pando Pte Ltd,Singapore,2024-01-11,Glint,Backend Developer,1,,,,,,11,1,2024
El Pando Pte Ltd,Singapore,2024-01-11,Glint,Frontend Developer,1,,,,,,11,1,2024
El Pando Pte Ltd,Singapore,2024-01-11,Glint,Mobile Developer,1,,,,,,11,1,2024
El Pando Pte Ltd,Singapore,2024-01-11,Glint,Web Development,1,,,,,,11,1,2024
Elev8.vc,Singapore,2023-12-19,Glint,Business Analyst,1,,,,,,19,12,2023
Elevance Health,United States,2024-01-14,Indeed,Business Analyst,1,"DATA ANALYSIS,REPORTING,COLOR,FUNCTIONS,BUSINESS,FACTORS,HEALTH,SQL,INSURANCE,BUSINESS REQUIREMENTS,HEALTHCARE,DOCUMENT,GOVERNMENT,ANALYSIS",DATA ANALYSIS,DATA ANALYSIS,SQL,"MONITORING,SQL,DATA ANALYSIS,REPORTING,ANALYSIS,DATA HANDLING",14,1,2024
